Year,Quarter,Nationality,Region,Age,Sex,Applicant type,UASC,Location of claim,Claims
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,4
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,36
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,18
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,431
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,18
2008,2008 Q1,Afghanistan,Asia Central,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,363
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,7
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,21
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Albania,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,10
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,12
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,5
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,69
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Algeria,Africa North,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,22
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,5
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,6
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,18
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Angola,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,5
2008,2008 Q1,Antigua and Barbuda,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Armenia,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,4
2008,2008 Q1,Azerbaijan,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Azerbaijan,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,9
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,101
2008,2008 Q1,Bangladesh,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,32
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Belarus,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,15
2008,2008 Q1,Benin,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bhutan,Asia South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,5
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,5
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Bolivia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,Bosnia and Herzegovina,Europe Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Botswana,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,2
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Brazil,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,7
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,3
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,British overseas citizens,Other,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Bulgaria,EU 2,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Burkina Faso,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Burundi,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,4
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,30
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,1
2008,2008 Q1,Cameroon,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,2
2008,2008 Q1,Central African Republic,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,2
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Chad,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,In Country,37
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,84
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,213
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,At Port,29
2008,2008 Q1,China,Asia East,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,16
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,2
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,2
2008,2008 Q1,Colombia,America Central and South,Total (pre-2009),Total (pre-2009),Main Applicant,UASC,In Country,1
2008,2008 Q1,Congo,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,At Port,1
2008,2008 Q1,Congo,Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Main Applicant,Non-UASC,In Country,5
2008,2008 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Total (pre-2009),Total (pre-2009),Dependant,Non-UASC,At Port,11
