Date,People claiming asylum,People receiving initial decisions,Grants of protection or other leave,Refusals,Withdrawals,People awaiting an initial decision
2010,"22,644","26,452","6,444","20,008","3,059","7,240"
2011,"25,898","22,794","7,184","15,610","2,608","8,857"
2012,"27,978","21,859","7,797","14,062","2,302","12,816"
2013,"29,875","22,556","8,638","13,918","2,555","18,172"
2014,"32,344","25,883","10,101","15,782","2,515","22,898"
2015,"39,968","38,147","13,945","24,202","3,162","22,147"
2016,"39,357","31,011","9,944","21,067","3,218","27,857"
2017,"34,435","27,850","8,564","19,286","3,417","29,522"
2018,"38,483","28,969","10,097","18,872","3,516","35,855"
2019,"45,537","28,575","15,080","13,495","3,563","51,228"
2020,"37,603","18,477","8,973","9,504","2,737","64,895"
2021,"57,942","17,866","12,953","4,913","2,692","100,564"
2022,"95,007","22,790","17,274","5,516","4,582","160,919"
2023,"87,427","91,556","61,478","30,078","25,011","128,786"
2024,"104,764","86,643","40,754","45,889","20,147","124,802"
2025,"100,625","135,151","54,887","80,264","18,353","64,426"
