Age,F E Africa,F E Africa 1,F E Asia,F E Asia 1,F E Europe,F E Europe 1,F S Asia,F S Asia 1,F SE Asia,F SE Asia 1,F W Africa,F W Africa 1,M E Africa,M E Africa 1,M E Asia,M E Asia 1,M E Europe,M E Europe 1,M S Asia,M S Asia 1,M SE Asia,M SE Asia 1,M W Africa,M W Africa 1,max Accept,min Accept,Gini
14,0.15,0.05,0.11,0.01,0.08,0.02,0.07,0.02,0.13,0.03,0.17,0.05,0.06,0.03,0.033,0.007,0.012,0.010,0.020,0.007,0.05,0.02,0.07,0.04,W Africa F,E Europe M,0.37
15,0.16,0.05,0.14,0.01,0.12,0.03,0.10,0.02,0.19,0.03,0.20,0.05,0.09,0.04,0.072,0.009,0.02,0.01,0.026,0.008,0.07,0.02,0.14,0.05,W Africa F,E Europe M,0.31
16,0.21,0.05,0.20,0.01,0.18,0.03,0.15,0.02,0.28,0.03,0.25,0.05,0.16,0.05,0.11,0.01,0.04,0.01,0.05,0.01,0.12,0.03,0.18,0.04,S E Asia F,E Europe M,0.27
17,0.23,0.05,0.28,0.01,0.26,0.03,0.21,0.02,0.34,0.03,0.29,0.06,0.22,0.06,0.19,0.01,0.06,0.02,0.12,0.01,0.20,0.03,0.28,0.05,S E Asia F,E Europe M,0.19
18,0.36,0.05,0.34,0.01,0.33,0.03,0.27,0.02,0.44,0.02,0.38,0.05,0.33,0.06,0.28,0.01,0.13,0.02,0.15,0.02,0.32,0.03,0.33,0.04,S E Asia F,E Europe M,0.16
19,0.40,0.04,0.42,0.01,0.40,0.02,0.35,0.02,0.48,0.02,0.44,0.05,0.39,0.05,0.37,0.01,0.20,0.03,0.26,0.02,0.41,0.03,0.43,0.04,S E Asia F,E Europe M,0.11
20,0.49,0.04,0.51,0.01,0.47,0.02,0.43,0.02,0.56,0.02,0.50,0.04,0.52,0.04,0.49,0.01,0.31,0.03,0.36,0.02,0.54,0.03,0.53,0.04,S E Asia F,E Europe M,0.09
21,0.54,0.04,0.58,0.01,0.55,0.02,0.49,0.02,0.63,0.02,0.60,0.04,0.61,0.04,0.61,0.01,0.47,0.03,0.45,0.02,0.63,0.02,0.66,0.04,W Africa M,S Asia M,0.07
22,0.62,0.04,0.643,0.009,0.61,0.02,0.56,0.01,0.68,0.02,0.66,0.03,0.73,0.04,0.72,0.01,0.58,0.03,0.58,0.02,0.74,0.02,0.73,0.03,S E Asia M,S Asia F,0.06
23,0.62,0.03,0.719,0.008,0.69,0.02,0.62,0.01,0.76,0.02,0.67,0.03,0.76,0.03,0.79,0.01,0.71,0.02,0.67,0.01,0.82,0.02,0.80,0.03,S E Asia M,S Asia F,0.06
24,0.70,0.03,0.759,0.007,0.75,0.01,0.67,0.01,0.79,0.01,0.71,0.03,0.82,0.03,0.845,0.009,0.80,0.02,0.76,0.01,0.86,0.02,0.86,0.02,S E Asia M,S Asia F,0.05
25,0.72,0.03,0.810,0.007,0.81,0.01,0.706,0.010,0.83,0.01,0.75,0.02,0.90,0.02,0.902,0.006,0.87,0.01,0.835,0.009,0.91,0.01,0.90,0.02,S E Asia M,S Asia F,0.05
26,0.77,0.03,0.850,0.006,0.840,0.009,0.748,0.008,0.87,0.01,0.80,0.02,0.91,0.02,0.932,0.005,0.90,0.01,0.877,0.007,0.94,0.01,0.93,0.01,S E Asia M,S Asia F,0.04
27,0.81,0.02,0.881,0.005,0.885,0.008,0.783,0.008,0.893,0.009,0.83,0.02,0.94,0.01,0.951,0.005,0.937,0.009,0.908,0.006,0.959,0.009,0.94,0.01,S E Asia M,S Asia F,0.04
28,0.83,0.02,0.908,0.004,0.914,0.007,0.815,0.007,0.913,0.008,0.83,0.02,0.96,0.01,0.964,0.004,0.965,0.006,0.936,0.005,0.968,0.008,0.959,0.010,S E Asia M,S Asia F,0.04
29,0.88,0.02,0.929,0.004,0.938,0.006,0.833,0.006,0.928,0.009,0.87,0.01,0.978,0.009,0.978,0.003,0.968,0.006,0.950,0.004,0.978,0.007,0.974,0.007,S E Asia M,S Asia F,0.03
30,0.88,0.02,0.944,0.003,0.954,0.005,0.858,0.006,0.944,0.007,0.88,0.02,0.978,0.010,0.983,0.003,0.977,0.005,0.967,0.003,0.986,0.006,0.977,0.006,S E Asia M,S Asia F,0.03
31,0.90,0.02,0.957,0.003,0.966,0.004,0.888,0.005,0.946,0.007,0.90,0.01,0.984,0.007,0.990,0.002,0.989,0.003,0.975,0.002,0.991,0.005,0.987,0.005,S E Asia M,S Asia F,0.02
32,0.92,0.02,0.965,0.003,0.976,0.004,0.904,0.005,0.965,0.005,0.91,0.01,0.986,0.007,0.990,0.002,0.990,0.003,0.982,0.002,0.984,0.006,0.987,0.004,E Asia M,S Asia F,0.02
33,0.93,0.02,0.972,0.002,0.979,0.004,0.912,0.004,0.968,0.006,0.93,0.01,0.993,0.005,0.993,0.002,0.996,0.002,0.987,0.002,0.992,0.004,0.994,0.003,E Europe M,S Asia F,0.02
34,0.93,0.01,0.977,0.002,0.984,0.003 ,0.930,0.004,0.975,0.005,0.95,0.01,0.993,0.005,0.994,0.002,0.997,0.002,0.990,0.001,0.995,0.003,0.993,0.004,E Europe M,S Asia F,0.01
